# List Network Requests

| reqid | method | url | status |
|---|---|---|---|
| 1 | GET | http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=dddb5256 | success - 200 |
| 2 | GET | http://localhost:5173/node_modules/.vite/deps/react.js?v=dddb5256 | success - 200 |
| 3 | GET | http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=dddb5256 | success - 200 |
| 4 | GET | http://localhost:5173/src/index.css?t=1774077386933 | failed - 304 |
| 5 | GET | http://localhost:5173/src/App.jsx?t=1774077386933 | failed - 304 |
| 6 | GET | http://localhost:5173/src/context/ThemeContext.jsx | failed - 304 |
| 7 | GET | http://localhost:5173/src/context/AuthContext.jsx?t=1774077352928 | failed - 304 |
| 8 | GET | http://localhost:5173/node_modules/vite/dist/client/env.mjs | failed - 304 |
| 9 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-REFQX4J5.js?v=dddb5256 | success - 200 |
| 10 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-373CG7ZK.js?v=dddb5256 | success - 200 |
| 11 | GET | http://localhost:5173/src/utils/api.js?t=1774077329172 | failed - 304 |
| 12 | GET | http://localhost:5173/src/components/layout/Navbar.jsx?t=1774077386933 | failed - 304 |
| 13 | GET | http://localhost:5173/src/components/ui/CartModal.jsx | failed - 304 |
| 14 | GET | http://localhost:5173/src/components/ui/AuthModal.jsx | failed - 304 |
| 15 | GET | http://localhost:5173/src/components/ui/Chatbot.jsx | failed - 304 |
| 16 | GET | http://localhost:5173/src/pages/HomePage.jsx?t=1774077372263 | failed - 304 |
| 17 | GET | http://localhost:5173/src/pages/AboutPage.jsx | failed - 304 |
| 18 | GET | http://localhost:5173/src/pages/ProcessPage.jsx | failed - 304 |
| 19 | GET | http://localhost:5173/src/pages/SearchPage.jsx | failed - 304 |
| 20 | GET | http://localhost:5173/src/pages/CategoryPage.jsx | failed - 304 |
| 21 | GET | http://localhost:5173/src/pages/ModelsPage.jsx | failed - 304 |
| 22 | GET | http://localhost:5173/src/pages/VariantsPage.jsx | failed - 304 |
| 23 | GET | http://localhost:5173/src/pages/DetailsPage.jsx?t=1774077329172 | failed - 304 |
| 24 | GET | http://localhost:5173/src/pages/EstimatePage.jsx?t=1774077329172 | failed - 304 |
| 25 | GET | http://localhost:5173/src/components/ui/ImgF.jsx | failed - 304 |
| 26 | GET | http://localhost:5173/src/components/layout/Footer.jsx | failed - 304 |
| 27 | GET | http://localhost:5173/src/components/ui/PageHeader.jsx | failed - 304 |
| 28 | GET | http://localhost:5173/src/components/ui/DarkToggle.jsx | failed - 304 |
| 29 | GET | http://localhost:5173/src/components/ui/LanguageSelector.jsx | failed - 304 |
| 30 | GET | http://localhost:5173/src/assets/img/logo.png?import | failed - 304 |
| 31 | GET | http://localhost:5173/src/data/index.js | failed - 304 |
| 32 | GET | http://localhost:5173/src/components/ui/BackButton.jsx | failed - 304 |
| 33 | GET | http://localhost:5173/src/utils/pricing.js | failed - 304 |
| 34 | GET | http://localhost:5173/src/data/categories.js | failed - 304 |
| 35 | GET | http://localhost:5173/src/data/companies.js | failed - 304 |
| 36 | GET | http://localhost:5173/src/data/devices.js | failed - 304 |
| 37 | GET | http://localhost:5173/src/data/steps.js | failed - 304 |
| 38 | GET | http://localhost:5173/src/assets/img/mobilelogo.svg?import | failed - 304 |
| 39 | GET | http://localhost:5173/src/assets/img/laptoplogo.svg?import | failed - 304 |
| 40 | GET | http://localhost:5173/src/assets/img/tabletlogo.svg?import | failed - 304 |
| 41 | GET | http://localhost:5173/src/assets/img/applelogo.png?import | failed - 304 |
| 42 | GET | http://localhost:5173/src/assets/img/samsunglogo.png?import | failed - 304 |
| 43 | GET | http://localhost:5173/src/assets/img/realmelogo.png?import | failed - 304 |
| 44 | GET | http://localhost:5173/src/assets/img/xiaomilogo.png?import | failed - 304 |
| 45 | GET | http://localhost:5173/src/assets/img/onepluslogo.png?import | failed - 304 |
| 46 | GET | http://localhost:5173/src/assets/img/vivologo.png?import | failed - 304 |
| 47 | GET | http://localhost:5173/src/assets/img/oppologo.png?import | failed - 304 |
| 48 | GET | http://localhost:5173/src/assets/img/nokialogo.png?import | failed - 304 |
| 49 | GET | http://localhost:5173/src/assets/img/lenovologo.png?import | failed - 304 |
| 50 | GET | http://localhost:5173/src/assets/img/hplogo.png?import | failed - 304 |
| 51 | GET | http://localhost:5173/src/assets/img/delllogo.png?import | failed - 304 |
| 52 | GET | http://localhost:5173/src/assets/img/asuslogo.png?import | failed - 304 |
| 53 | GET | http://localhost:5173/src/assets/img/acerlogo.png?import | failed - 304 |
| 54 | GET | http://localhost:5173/src/assets/img/msilogo.png?import | failed - 304 |
| 55 | GET | http://localhost:5173/src/assets/img/logo.png | failed - 304 |
| 56 | GET | http://localhost:5173/src/assets/img/mobilelogo.svg | failed - 304 |
| 57 | GET | http://localhost:5173/src/assets/img/laptoplogo.svg | failed - 304 |
| 58 | GET | http://localhost:5173/src/assets/img/tabletlogo.svg | failed - 304 |
| 59 | GET | https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 | success - 200 |
| 60 | GET | https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2 | success - 200 |
| 61 | GET | https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLBT5Z1xlFQ.woff2 | success - 200 |
| 62 | GET | https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 | success - 200 |
| 63 | GET | https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLEj6Z1xlFQ.woff2 | success - 200 |
| 64 | GET | https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7SUc.woff2 | success - 200 |
| 65 | OPTIONS | http://localhost:8081/api/user | success - 200 |
| 66 | GET | http://localhost:8081/api/user | failed - 401 |
| 67 | GET | http://localhost:8081/api/user | failed - 401 |
| 68 | OPTIONS | http://localhost:8081/api/user | success - 200 |
| 69 | GET | http://localhost:5173/favicon.svg | failed - 304 |
| 70 | GET | http://localhost:8081/api/cart | failed - 302 |
| 71 | OPTIONS | http://localhost:8081/api/cart | success - 200 |
| 72 | GET | http://localhost:8081/oauth2/authorization/google;jsessionid=592D443CE9059E3A2E39F98F82C08D6C | failed - net::ERR_FAILED |
| 73 | OPTIONS | http://localhost:8081/oauth2/authorization/google;jsessionid=592D443CE9059E3A2E39F98F82C08D6C | failed - net::ERR_INVALID_REDIRECT |
| 74 | GET | http://localhost:5173/images/logo.png | failed - 304 |
| 75 | GET | https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLDD4Z1xlFQ.woff2 | success - 200 |
| 76 | POST | http://localhost:8081/api/auth/login | failed - 400 |
| 77 | POST | http://localhost:8081/api/auth/register | success - 200 |
| 78 | POST | http://localhost:8081/api/auth/verify-otp?email=abi@gmail.com&otp=123456 | failed - 302 |
| 79 | GET | http://localhost:8081/oauth2/authorization/google;jsessionid=5B0AD8727C4AF6A09E394E3AECDD19C5 | failed - net::ERR_FAILED |
| 80 | GET | http://localhost:5173/favicon.svg | failed - 304 |
